Phrase,Frequency
إن الله,196
الذين آمنوا,182
في الأرض,170
يا أيها,142
السماوات والأرض,133
الذين كفروا,130
يا أيها الذين,92
أيها الذين,92
من قبل,92
يا أيها الذين آمنوا,89
أيها الذين آمنوا,89
من الله,88
كل شيء,85
إن الذين,84
من دون,81
من بعد,80
إن كنتم,79
دون الله,71
من دون الله,70
في السماوات,70
الله من,69
على الله,69
سبيل الله,65
ما في,64
الله لا,63
الحياة الدنيا,60
يوم القيامة,60
عند الله,58
إن في,57
على كل,56
من يشاء,55
ما كانوا,53
على كل شيء,52
وعملوا الصالحات,52
في ذلك,52
الله إن,52
أن الله,51
وما كان,50
آمنوا وعملوا الصالحات,50
آمنوا وعملوا,50
من السماء,50
إن في ذلك,50
إلا أن,48
فإن الله,47
إلا من,46
الله على,46
لكم من,45
الله ما,45
لا يؤمنون,43
لا يعلمون,43
غفور رحيم,42
في سبيل,42
في سبيل الله,42
بما كانوا,42
حتى إذا,41
الله ورسوله,41
بما تعملون,41
خالدين فيها,40
وكان الله,40
تجري من,39
من كل,39
إله إلا,39
يا قوم,38
ما في السماوات,38
عذاب أليم,37
قال يا,37
من دونه,37
من قبلهم,37
الذين من,36
الذين آمنوا وعملوا الصالحات,36
إلا هو,36
الذين آمنوا وعملوا,36
لا إله,36
من شيء,36
لا إله إلا,36
إن هذا,36
إلى الله,36
والذين آمنوا,35
تحتها الأنهار,35
إلا ما,35
من تحتها,35
كانوا يعملون,35
رب العالمين,34
تجري من تحتها الأنهار,34
من ربك,34
تجري من تحتها,34
على ما,34
من تحتها الأنهار,34
كل شيء قدير,33
شيء قدير,33
على كل شيء قدير,33
الله إن الله,33
بني إسرائيل,33
قال رب,33
الله الذي,32
فبأي آلاء,32
ولا هم,32
آلاء ربكما تكذبان,31
آلاء ربكما,31
ربكما تكذبان,31
فبأي آلاء ربكما تكذبان,31
أهل الكتاب,31
وهم لا,31
من ربكم,31
لهم من,31
ألم تر,31
فبأي آلاء ربكما,31
في السماوات والأرض,30
واتقوا الله,30
بعد ما,30
له من,30
لا إله إلا هو,29
إله إلا هو,29
قبل أن,29
الذين لا,29
الله كان,29
بما كنتم,29
من بعد ما,29
العزيز الحكيم,29
إن الله لا,29
خلق السماوات,29
إنه كان,29
ما لا,29
هو الذي,28
وهو الذي,28
خلق السماوات والأرض,28
كنتم صادقين,28
في الدنيا,28
من قبلك,28
إن كنتم صادقين,28
في السماوات وما في الأرض,27
ما في السماوات وما في,27
السماوات وما في الأرض,27
يعلم ما,27
يا أيها الذين آمنوا لا,27
أيها الذين آمنوا لا,27
ما في السماوات وما في الأرض,27
وما في,27
من الذين,27
في السماوات وما في,27
السماوات وما في,27
جنات تجري,27
والأرض وما,27
وما في الأرض,27
الذين آمنوا لا,27
السماوات وما,27
في السماوات وما,27
ما في السماوات وما,27
به من,27
شاء الله,27
آمنوا لا,27
جنات تجري من تحتها,26
أولئك الذين,26
جنات تجري من,26
كنتم تعملون,26
قالوا يا,26
من فضله,26
جنات تجري من تحتها الأنهار,26
إذ قال,26
إن ربك,26
بكل شيء,25
الله غفور,25
وأن الله,25
لا يهدي,24
الله ولا,24
في ذلك لآيات,24
الذين أوتوا,24
يا موسى,24
في الآخرة,24
إن في ذلك لآيات,24
والله عليم,24
