Uthmani,Simple
بِسْمِ,بسم
ٱللَّهِ,الله
ٱلرَّحْمَٰنِ,الرحمن
ٱلرَّحِيمِ,الرحيم
ٱلْحَمْدُ,الحمد
لِلَّهِ,لله
رَبِّ,رب
ٱلْعَٰلَمِينَ,العالمين
مَٰلِكِ,مالك
يَوْمِ,يوم
ٱلدِّينِ,الدين
إِيَّاكَ,إياك
نَعْبُدُ,نعبد
وَإِيَّاكَ,وإياك
نَسْتَعِينُ,نستعين
ٱهْدِنَا,اهدنا
ٱلصِّرَٰطَ,الصراط
ٱلْمُسْتَقِيمَ,المستقيم
صِرَٰطَ,صراط
ٱلَّذِينَ,الذين
أَنْعَمْتَ,أنعمت
عَلَيْهِمْ,عليهم
غَيْرِ,غير
ٱلْمَغْضُوبِ,المغضوب
وَلَا,ولا
ٱلضَّآلِّينَ,الضالين
الٓمٓ,الم
ذَٰلِكَ,ذلك
ٱلْكِتَٰبُ,الكتاب
لَا,لا
رَيْبَ,ريب
فِيهِ,فيه
هُدًى,هدى
لِّلْمُتَّقِينَ,للمتقين
يُؤْمِنُونَ,يؤمنون
بِٱلْغَيْبِ,بالغيب
وَيُقِيمُونَ,ويقيمون
ٱلصَّلَوٰةَ,الصلاة
وَمِمَّا,ومما
رَزَقْنَٰهُمْ,رزقناهم
يُنفِقُونَ,ينفقون
وَٱلَّذِينَ,والذين
بِمَآ,بما
أُنزِلَ,أنزل
إِلَيْكَ,إليك
وَمَآ,وما
مِن,من
قَبْلِكَ,قبلك
وَبِٱلْءَاخِرَةِ,وبالآخرة
هُمْ,هم
يُوقِنُونَ,يوقنون
أُو۟لَٰٓئِكَ,أولئك
عَلَىٰ,على
مِّن,من
رَّبِّهِمْ,ربهم
وَأُو۟لَٰٓئِكَ,وأولئك
هُمُ,هم
ٱلْمُفْلِحُونَ,المفلحون
إِنَّ,إن
كَفَرُوا۟,كفروا
سَوَآءٌ,سواء
ءَأَنذَرْتَهُمْ,أأنذرتهم
أَمْ,أم
لَمْ,لم
تُنذِرْهُمْ,تنذرهم
خَتَمَ,ختم
ٱللَّهُ,الله
قُلُوبِهِمْ,قلوبهم
وَعَلَىٰ,وعلى
سَمْعِهِمْ,سمعهم
وَعَلَىٰٓ,وعلى
أَبْصَٰرِهِمْ,أبصارهم
غِشَٰوَةٌ,غشاوة
وَلَهُمْ,ولهم
عَذَابٌ,عذاب
عَظِيمٌ,عظيم
وَمِنَ,ومن
ٱلنَّاسِ,الناس
مَن,من
يَقُولُ,يقول
ءَامَنَّا,آمنا
بِٱللَّهِ,بالله
وَبِٱلْيَوْمِ,وباليوم
ٱلْءَاخِرِ,الآخر
وَمَا,وما
هُم,هم
بِمُؤْمِنِينَ,بمؤمنين
يُخَٰدِعُونَ,يخادعون
ٱللَّهَ,الله
ءَامَنُوا۟,آمنوا
يَخْدَعُونَ,يخدعون
إِلَّآ,إلا
أَنفُسَهُمْ,أنفسهم
يَشْعُرُونَ,يشعرون
فِى,في
قُلُوبِهِم,قلوبهم
مَّرَضٌ,مرض
فَزَادَهُمُ,فزادهم
مَرَضًا,مرضا
أَلِيمٌۢ,أليم
بِمَا,بما
كَانُوا۟,كانوا
يَكْذِبُونَ,يكذبون
وَإِذَا,وإذا
قِيلَ,قيل
لَهُمْ,لهم
تُفْسِدُوا۟,تفسدوا
ٱلْأَرْضِ,الأرض
قَالُوٓا۟,قالوا
إِنَّمَا,إنما
نَحْنُ,نحن
مُصْلِحُونَ,مصلحون
أَلَآ,ألا
إِنَّهُمْ,إنهم
ٱلْمُفْسِدُونَ,المفسدون
وَلَٰكِن,ولكن
لَّا,لا
ءَامِنُوا۟,آمنوا
كَمَآ,كما
ءَامَنَ,آمن
ٱلنَّاسُ,الناس
أَنُؤْمِنُ,أنؤمن
ٱلسُّفَهَآءُ,السفهاء
يَعْلَمُونَ,يعلمون
لَقُوا۟,لقوا
خَلَوْا۟,خلوا
إِلَىٰ,إلى
شَيَٰطِينِهِمْ,شياطينهم
إِنَّا,إنا
مَعَكُمْ,معكم
مُسْتَهْزِءُونَ,مستهزئون
يَسْتَهْزِئُ,يستهزئ
بِهِمْ,بهم
وَيَمُدُّهُمْ,ويمدهم
طُغْيَٰنِهِمْ,طغيانهم
يَعْمَهُونَ,يعمهون
ٱشْتَرَوُا۟,اشتروا
ٱلضَّلَٰلَةَ,الضلالة
بِٱلْهُدَىٰ,بالهدى
فَمَا,فما
رَبِحَت,ربحت
تِّجَٰرَتُهُمْ,تجارتهم
مُهْتَدِينَ,مهتدين
مَثَلُهُمْ,مثلهم
كَمَثَلِ,كمثل
ٱلَّذِى,الذي
ٱسْتَوْقَدَ,استوقد
نَارًا,نارا
فَلَمَّآ,فلما
أَضَآءَتْ,أضاءت
مَا,ما
حَوْلَهُۥ,حوله
ذَهَبَ,ذهب
